"ID"	"Mass_specific_VCO2"	"Ta"	"N"	"Tb"	"Taset"	"Whole_animal_VCO2"	"ID2"
"11_25_01"	0.487902731412268	-3.07788541666667	3	8.6875	-3	13.4209868333673	"11"
"2_23_01"	0.268791909698908	-2.84346715686275	3	0.833333333333333	-3	9.40949909372332	"2"
"3_24_01"	0.700030348824656	-3.0118140625	4	1.125	-3	20.4453813350066	"3"
"4_24_01"	1.68634183244844	-2.994534375	4	3.046875	-3	56.8494629395187	"4"
"5_24_01"	1.40787102402553	-3.00350631551363	3	5.66666666666667	-3	46.0453154228001	"5"
"6_25_01"	1.07020083385097	-3.07478333333333	3	7.04166666666667	-3	31.0512547421962	"6"
"60_25_01"	1.45600806105497	-3.07980260416667	4	7.5	-3	53.455875758975	"60"
"8_23_01"	1.846110763342	-2.85427708333333	3	11.9375	-3	56.709180147393	"8"
"10_24_01"	1.32527495668996	-2.0292171875	4	6.203125	-2	37.416979417431	"10"
"11_25_01"	1.2878014521255	-2.11698333333333	3	6	-2	35.5024371380458	"11"
"12_23_01"	1.31900730007439	-1.860184375	4	7.5	-2	42.4163527268917	"12"
"2_23_01"	0.181079224879063	-1.87806458333333	3	0.5	-2	6.34245013884889	"2"
"3_24_01"	0.265892477873668	-2.04146041666667	3	0.833333333333333	-2	7.76888559530279	"3"
"4_24_01"	0.330225899495816	-2.03785	3	2.16666666666667	-2	11.1429933481502	"4"
"5_24_01"	0.839264752736868	-2.0400171875	4	4.609375	-2	27.4714529471343	"5"
"50_25_01"	0.978699803260296	-2.1199421875	4	7.703125	-2	32.5774860932936	"50"
"6_25_01"	1.21896188591816	-2.12331041666667	3	6.97916666666667	-2	35.4235068686633	"6"
"60_25_01"	0.910361454326277	-2.1121875	3	5.83333333333333	-2	33.4763046597188	"60"
"8_23_01"	1.32246282559885	-1.8671921875	4	11.15625	-2	40.6769938992528	"8"
"9_23_01"	1.26791931728208	-1.87196666666667	3	6.58333333333333	-2	38.0523080048512	"9"
"10_24_01"	0.753034406113174	-1.03602916666667	3	10.2708333333333	-1	21.3662108502056	"10"
"11_25_01"	0.814706089653021	-1.15155208333333	3	5.5	-1	22.4830206364898	"11"
"12_23_01"	1.96209805805032	-0.853103966666667	3	9.77083333333333	-1	63.1805958229415	"12"
"2_23_01"	0.0630138784945791	-0.8560498	3	1	-1	2.20930719591842	"2"
"3_24_01"	0.231727562029237	-1.04922291666667	3	0.9375	-1	6.77659600212617	"3"
"4_24_01"	0.28339168058762	-1.06025208333333	3	2.16666666666667	-1	9.57950472595116	"4"
"5_24_01"	0.388667450197682	-1.04375416666667	3	4.16666666666667	-1	12.7363439324152	"5"
"50_25_01"	0.865686954127586	-1.1035609375	4	6.96875	-1	29.6111138913701	"50"
"6_25_01"	0.683517794632901	-1.13255416666667	3	7.3125	-1	19.9058052765881	"6"
"60_25_01"	0.603818708554551	-1.12473958333333	3	6.10416666666667	-1	22.259553287867	"60"
"8_23_01"	1.56351367511222	-0.8535544875	4	10.375	-1	48.1971147760313	"8"
"9_23_01"	1.22121822489187	-0.8538544875	4	7.125	-1	36.8540376987749	"9"
"10_24_01"	0.868983727404193	-0.0200124921	3	8.04166666666667	0	24.7941922997401	"10"
"11_25_01"	0.196251699307672	-0.136170633333333	3	2.83333333333333	0	5.42995843985692	"11"
