"ID" "MR" "Ta" "N" "Tb" "Taset" "ID2"
"13" "11_25_01" 0.487902731412268 -3.07788541666667 3 8.6875 -3 "11"
"22" "2_23_01" 0.268791909698908 -2.84346715686275 3 0.833333333333333 -3 "2"
"27" "3_24_01" 0.700030348824656 -3.0118140625 4 1.125 -3 "3"
"32" "4_24_01" 1.68634183244844 -2.994534375 4 3.046875 -3 "4"
"38" "5_24_01" 1.40787102402553 -3.00350631551363 3 5.66666666666667 -3 "5"
"50" "6_25_01" 1.07020083385097 -3.07478333333333 3 7.04166666666667 -3 "6"
"57" "60_25_01" 1.45600806105497 -3.07980260416667 4 7.5 -3 "60"
"63" "8_23_01" 1.846110763342 -2.85427708333333 3 11.9375 -3 "8"
"74" "10_24_01" 1.32527495668996 -2.0292171875 4 6.203125 -2 "10"
"81" "11_25_01" 1.2878014521255 -2.11698333333333 3 6 -2 "11"
"87" "12_23_01" 1.31900730007439 -1.860184375 4 7.5 -2 "12"
"90" "2_23_01" 0.181079224879062 -1.87806458333333 3 0.5 -2 "2"
"95" "3_24_01" 0.265892477873668 -2.04146041666667 3 0.833333333333333 -2 "3"
"100" "4_24_01" 0.330225899495816 -2.03785 3 2.16666666666667 -2 "4"
"106" "5_24_01" 0.839264752736868 -2.0400171875 4 4.609375 -2 "5"
"113" "50_25_01" 0.978699803260296 -2.1199421875 4 7.703125 -2 "50"
"118" "6_25_01" 1.21896188591816 -2.12331041666667 3 6.97916666666667 -2 "6"
"125" "60_25_01" 0.910361454326277 -2.1121875 3 5.83333333333333 -2 "60"
"131" "8_23_01" 1.32246282559885 -1.8671921875 4 11.15625 -2 "8"
"136" "9_23_01" 1.26791931728208 -1.87196666666667 3 6.58333333333333 -2 "9"
"142" "10_24_01" 0.753034406113174 -1.03602916666667 3 10.2708333333333 -1 "10"
"149" "11_25_01" 0.814706089653021 -1.15155208333333 3 5.5 -1 "11"
"155" "12_23_01" 1.96209805805032 -0.853103966666667 3 9.77083333333333 -1 "12"
"158" "2_23_01" 0.0630138784945791 -0.8560498 3 1 -1 "2"
"163" "3_24_01" 0.231727562029237 -1.04922291666667 3 0.9375 -1 "3"
"168" "4_24_01" 0.28339168058762 -1.06025208333333 3 2.16666666666667 -1 "4"
"174" "5_24_01" 0.388667450197682 -1.04375416666667 3 4.16666666666667 -1 "5"
"181" "50_25_01" 0.865686954127586 -1.1035609375 4 6.96875 -1 "50"
"186" "6_25_01" 0.683517794632901 -1.13255416666667 3 7.3125 -1 "6"
"193" "60_25_01" 0.603818708554551 -1.12473958333333 3 6.10416666666667 -1 "60"
"199" "8_23_01" 1.56351367511222 -0.8535544875 4 10.375 -1 "8"
"204" "9_23_01" 1.22121822489187 -0.8538544875 4 7.125 -1 "9"
"210" "10_24_01" 0.868983727404193 -0.0200124921 3 8.04166666666667 0 "10"
"217" "11_25_01" 0.196251699307672 -0.136170633333333 3 2.83333333333333 0 "11"
"223" "12_23_01" 1.37089788646564 0.14865177140625 4 9.078125 0 "12"
"226" "2_23_01" 0.0925110364069935 0.144598123333333 3 2 0 "2"
"231" "3_24_01" 0.0618919363613567 -0.0304311023199196 3 1.33333333333333 0 "3"
"236" "4_24_01" 0.20722955511206 -0.0438375 3 3.77083333333333 0 "4"
"242" "5_24_01" 0.280232342623837 -0.0419833333333333 3 6 0 "5"
"249" "50_25_01" 0.768312110666969 -0.1370482384375 4 8.40625 0 "50"
"254" "6_25_01" 0.894488438828639 -0.1431888625 4 7.5 0 "6"
"261" "60_25_01" 0.395950929947162 -0.1397373 3 6.97916666666667 0 "60"
"267" "8_23_01" 1.47447990039977 0.1467627025 3 10.9583333333333 0 "8"
"272" "9_23_01" 1.38812267120062 0.144510623958333 3 8.04166666666667 0 "9"
"346" "10_24_01" 1.008317692679 2.0454375 3 11.9791666666667 2 "10"
"353" "11_25_01" 0.0368152452609794 1.8538901687981 4 2.75 2 "11"
"359" "12_23_01" 0.580006959949743 2.18419375 3 11.5416666666667 2 "12"
"362" "2_23_01" 0.0731409633612863 2.1326550224577 3 3.5 2 "2"
"367" "3_24_01" 0.00427291615841425 1.95473070987654 3 2.5 2 "3"
"372" "4_24_01" 0.132391106053018 1.9591551618896 3 3.83333333333333 2 "4"
"378" "5_24_01" 0.0988521991861628 1.96918741521318 4 2.875 2 "5"
"385" "50_25_01" 0.1517993839684 1.84953580246914 3 4.66666666666667 2 "50"
"390" "6_25_01" 0.311071803607467 2.02422708333333 3 13.1458333333333 2 "6"
"397" "60_25_01" 0.0820457991009877 1.84409583333333 3 6.04166666666667 2 "60"
"403" "8_23_01" 0.940142841023886 2.1398421875 4 11.28125 2 "8"
"408" "9_23_01" 0.522701952851897 2.18698125 3 9.04166666666667 2 "9"
"481" "10_21_01" 0.726817922790963 4.06351082916667 3 9.66666666666667 4 "10"
"488" "11_22_01" 0.0107806961667521 4.02689171172579 4 4.5 4 "11"
"493" "12_17_01" 0.286975961374815 4.17249204791667 3 8.70833333333333 4 "12"
"494" "12_20_01" 0.362187042794486 4.181244140625 4 14.5625 4 "12"
"496" "2_17_01" 0.0225619478746665 4.19005070041118 4 5.25 4 "2"
"497" "2_20_01" 0.0987718402548875 4.164936265625 4 7.703125 4 "2"
"502" "3_21_01" 0.0769743291612295 4.06834207166667 3 6.5 4 "3"
"507" "4_21_01" 0.0512781002457075 4.07518631594045 3 5 4 "4"
"513" "5_21_01" 0.325924357390825 4.0626878546875 4 7.296875 4 "5"
"519" "50_19_01" 0.565338353481169 4.16219163057783 3 11.8333333333333 4 "50"
"520" "50_22_01" 0.354292548455056 4.02568987708333 3 9.16666666666667 4 "50"
"524" "6_19_01" 0.419123547108633 4.16778839188034 3 7.66666666666667 4 "6"
"525" "6_22_01" 0.0353995198518533 4.0376488125 4 6.984375 4 "6"
"531" "60_19_01" 0.169225304075269 4.14794088269728 3 10.2581453634085 4 "60"
"532" "60_22_01" 0.0372905513073137 4.03349250625 4 4.875 4 "60"
"537" "8_17_01" 0.848823839649923 4.18065704643606 3 11.8333333333333 4 "8"
"538" "8_20_01" 1.51811755862964 4.17065245833333 3 15.6041666666667 4 "8"
"542" "9_17_01" 0.091020179314694 4.20023164375 3 6.60416666666667 4 "9"
"543" "9_20_01" 0.459427202119224 4.16411124375 4 8.03125 4 "9"
"599" "60_19_01" 0.368464771023861 5.15097110796539 3 11.0947242206235 5 "60"
"624" "11_22_01" 0.0122349403807698 6.01402080377682 3 5.33333333333333 6 "11"
"661" "6_22_01" 0.132677722868716 6.09080474166667 3 7.89583333333333 6 "6"
"668" "60_22_01" 0.0504559627730259 6.02355548226219 4 5.25 6 "60"
"685" "10_21_01" 0.469239670649475 7.00676726875 3 12.1666666666667 7 "10"
"691" "11_19_01" 0.0823328816407484 7.1254019156746 3 9 7 "11"
"692" "11_22_01" 0.00600446679578734 6.9701133876282 4 6.25 7 "11"
"697" "12_17_01" 0.230784448803482 7.10045898541667 3 15.7083333333333 7 "12"
"698" "12_20_01" 0.377991355473486 7.08076528541667 3 10.8333333333333 7 "12"
"700" "2_17_01" 0.0241510142476817 7.10222389494131 4 8 7 "2"
"701" "2_20_01" 0.0442997524730135 7.07492616570742 4 7.5 7 "2"
"706" "3_21_01" 0.0526626475092527 7.01227089543505 4 9.25 7 "3"
"711" "4_21_01" 0.00601172770060593 7.01638497553204 4 7.625 7 "4"
"717" "5_21_01" 0.0518117261283139 7.02176406046908 3 8.5 7 "5"
"723" "50_19_01" 0.191990556762312 7.13892581879932 3 14.0952380952381 7 "50"
"724" "50_22_01" 0.193046397656768 6.98257348541667 3 11.7083333333333 7 "50"
"729" "6_22_01" 0.0116762968308008 6.99711376221127 4 8.25 7 "6"
"735" "60_19_01" 0.0703580019818033 7.11929852526311 3 10.3333333333333 7 "60"
"736" "60_22_01" 0.0533347618012213 6.9884969730385 4 7.25 7 "60"
"741" "8_17_01" 0.269206988884451 7.098727225 4 17.1875 7 "8"
"742" "8_20_01" 0.554287499882329 7.08446734375 3 14.6041666666667 7 "8"
"746" "9_17_01" 0.00317090328080917 7.11323653418313 4 8 7 "9"
"747" "9_20_01" 0.10573335302717 7.0987069125 3 8.83333333333333 7 "9"
"889" "10_21_01" 0.879091665582494 10.01139389375 3 16.1666666666667 10 "10"
"895" "11_19_01" 0.0338597817652412 10.1122324780976 3 10 10 "11"
"901" "12_17_01" 0.160265314670636 10.0829884334415 4 15.1124188311688 10 "12"
"902" "12_20_01" 0.244157810246197 10.0091481104167 3 13.375 10 "12"
"904" "2_17_01" 0.00662762396939251 10.0725325743201 4 10.9076797385621 10 "2"
"905" "2_20_01" 0.00826886241629876 9.98436815443483 4 10.6105460513705 10 "2"
"910" "3_21_01" 0.00695683060327955 10.0014849356603 4 10.5 10 "3"
"915" "4_21_01" 0.00302278120980912 10.009742809644 4 10.5 10 "4"
"921" "5_21_01" 0.0996393285803882 10.0139800382392 3 12.5 10 "5"
"939" "60_19_01" 0.13288859915191 10.1261507553606 3 13.5 10 "60"
"945" "8_17_01" 0.464888022114658 10.085634375 4 20.859375 10 "8"
"946" "8_20_01" 0.252374688409891 9.9882552421875 4 16.4375 10 "8"
"950" "9_17_01" 0.0523038772173957 10.067272224009 4 11.5 10 "9"
"951" "9_20_01" 0.174197598008739 9.9931941546875 4 15.515625 10 "9"
"1158" "10_11_01" 0.0157295040918687 13.9062202380952 3 14.6666666666667 14 "10"
"1160" "10_14_01" 0.42715489430464 13.9613645833333 3 20.5 14 "10"
"1165" "11_12_01" 0.0189993574621356 13.91500375 5 14.5 14 "11"
"1166" "11_15_01" 0.0142729411955907 13.9926621150066 5 14.5 14 "11"
"1172" "12_13_01" 0.144793314765869 13.858553125 4 16.25 14 "12"
"1181" "3_13_01" 0.017542642854306 13.8502828125 4 14 14 "3"
"1186" "4_13_01" 0.0137060282821093 13.8510831248809 3 14.5 14 "4"
"1191" "5_11_01" 0.0114656252627143 13.9062476190476 3 14.8333333333333 14 "5"
"1192" "5_14_01" 0.0397471521959635 13.9777073109244 5 16.1625 14 "5"
"1197" "50_11_01" 0.0222389117424611 13.892354386414 3 14.5 14 "50"
"1198" "50_14_01" 0.374751293939946 13.9674479166667 3 21.875 14 "50"
"1202" "6_12_01" 0.0172479846098402 13.927619432947 4 14.703125 14 "6"
"1203" "6_15_01" 0.0644755514908893 14.007545 5 16.6 14 "6"
"1209" "60_12_01" 0.0748853884943768 13.92365875 5 14.5 14 "60"
"1210" "60_15_01" 0.133375576165505 13.9937175 5 17.95 14 "60"
"1216" "8_13_01" 0.120630655746105 13.85945 3 16.0416666666667 14 "8"
"1362" "10_11_01" 0.0251547010625844 16.9224238095238 3 17.8333333333333 17 "10"
"1364" "10_14_01" 0.261003798333456 16.8078833333333 3 20.2083333333333 17 "10"
